"Geneid" "Allel" "Tissue" "Value"
"301" "Ntsc3890" "BA" "veg" -0.00852647441349534
"302" "Ntsc3890" "BA" "sex" -0.319364416771227
"303" "Ntsc3890" "sa" "veg" -0.221736591077059
"304" "Ntsc3890" "sa" "sex" -0.150215627134487
"305" "Ntsc3888" "BA" "veg" -0.197490229225857
"306" "Ntsc3888" "BA" "sex" 0.171781933188196
"307" "Ntsc3888" "sa" "veg" 0.85439870649919
"308" "Ntsc3888" "sa" "sex" 0.365293397376581
"309" "Ntsc3887" "BA" "veg" 0.471521801123507
"310" "Ntsc3887" "BA" "sex" -0.587148323733603
"311" "Ntsc3887" "sa" "veg" 0.430237544420902
"312" "Ntsc3887" "sa" "sex" 0.408265139232153
"313" "Ntsc3889" "BA" "veg" 0.464176782050859
"314" "Ntsc3889" "BA" "sex" -0.571169552061978
"315" "Ntsc3889" "sa" "veg" 0.0205564034276097
"316" "Ntsc3889" "sa" "sex" -0.116817231956864
"317" "Ntsc3877" "BA" "veg" 0.46346222743345
"318" "Ntsc3877" "BA" "sex" 0.677697388960699
"319" "Ntsc3877" "sa" "veg" 0.156936130012872
"320" "Ntsc3877" "sa" "sex" 0.838650031953932
"321" "Ntsc3874" "BA" "veg" 0.817212821129156
"322" "Ntsc3874" "BA" "sex" 0.153139822793146
"323" "Ntsc3874" "sa" "veg" -0.659693348263079
"324" "Ntsc3874" "sa" "sex" -0.654915860857176
"325" "Ntsc3883" "BA" "veg" 0.383440578943638
"326" "Ntsc3883" "BA" "sex" 0.413897920757752
"327" "Ntsc3883" "sa" "veg" -0.258763292304619
"328" "Ntsc3883" "sa" "sex" -0.532577161692989
"329" "Ntsc1423" "BA" "veg" -0.743635260133435
"330" "Ntsc1423" "BA" "sex" 0.194098303986465
"331" "Ntsc1423" "sa" "veg" -0.544133627761782
"332" "Ntsc1423" "sa" "sex" -0.102585650047464
"333" "Ntsc3881" "BA" "veg" 0.627306815794819
"334" "Ntsc3881" "BA" "sex" 0.0338025201512018
"335" "Ntsc3881" "sa" "veg" -0.488686542592405
"336" "Ntsc3881" "sa" "sex" 0.281336701125727
"337" "Ntsc3880" "BA" "veg" -0.0946573568338618
"338" "Ntsc3880" "BA" "sex" 0.140761040634464
"339" "Ntsc3880" "sa" "veg" 0.252607049052667
"340" "Ntsc3880" "sa" "sex" 0.602631496236516
"341" "Ntsc3882" "BA" "veg" -0.566758715056955
"342" "Ntsc3882" "BA" "sex" 0.161093060148304
"343" "Ntsc3882" "sa" "veg" -0.0250422608473046
"344" "Ntsc3882" "sa" "sex" 0.0638489188399309
"345" "Ntsc1421" "BA" "veg" 0.210012450962419
"346" "Ntsc1421" "BA" "sex" -0.24485842230919
"347" "Ntsc1421" "sa" "veg" 0.577019890186032
"348" "Ntsc1421" "sa" "sex" -0.665938201964725
"349" "Ntsc1422" "BA" "veg" -0.190678158861551
"350" "Ntsc1422" "BA" "sex" 0.705122576696092
"351" "Ntsc1422" "sa" "veg" -0.00765713897477084
"352" "Ntsc1422" "sa" "sex" 0.866276790160928
"353" "Ntsc3879" "BA" "veg" -0.428547927038884
"354" "Ntsc3879" "BA" "sex" -0.0616780721290203
"355" "Ntsc3879" "sa" "veg" -0.73805859282655
"356" "Ntsc3879" "sa" "sex" 0.556925837507425
"357" "Ntsc3873" "BA" "veg" -0.712774940916842
"358" "Ntsc3873" "BA" "sex" 0.47298935201586
